order_run,video_number,MSE,upper_MSE,lower_MSE
1,26,0.010719343026598275,0.0077753725525153,0.015310594384339429
2,27,0.00924175544441097,0.006717060325787852,0.012635730172463042
3,28,0.012428789464302219,0.00991744584631568,0.016016894516582586
4,29,0.011954126553111625,0.009263283506690543,0.015586611558441222
5,30,0.006397511611726153,0.004189389009196495,0.009540598318048776
6,31,0.007256091327992316,0.004829883759614954,0.010508736566380199
7,32,0.006434772378014135,0.004207609230456374,0.009551030117745638
8,33,0.005880983471255733,0.003921959284946782,0.008788276789673208
9,34,0.005571000527995489,0.003453313727204114,0.008580089852942107
10,35,0.007228359280855305,0.004887446781485303,0.010437208346324682
11,36,0.009506424478214625,0.006497518749558959,0.013149552851206303
12,37,0.00539109261391119,0.003323317738018703,0.008081103125044993
13,38,0.0009279547360901898,0.0006341671882222239,0.0014510990199891535
14,39,0.009530569224771229,0.006659032387727996,0.013059371586250727
15,40,0.009049581439367438,0.00619069399067956,0.012540079110413131
16,41,0.008742329545838545,0.005974515083986456,0.012214909630935782
17,42,0.006847973583528381,0.004423112091736602,0.010019476698010298
18,43,0.008011015428548072,0.005095407862416469,0.011825366366890046
19,44,0.0056862443069629395,0.00343646837276224,0.0083180619907784
20,45,0.00749837915770628,0.005244817733577247,0.010912468303822734
21,46,0.005607982878451929,0.00342878904367058,0.008263858814435261
22,47,0.008674299510218628,0.005857525483621291,0.011909433392707766
23,48,0.0049552250064499636,0.002791999750795464,0.0076827079692252725
24,49,0.007923233147584523,0.005197224862339214,0.01147952050375612
25,50,0.004325451531426059,0.0023997047203882472,0.006915145597918926
26,1,0.006373319280307012,0.0038166139343304,0.009673781968352956
27,2,0.006710812667728756,0.004123860360753204,0.009879829035582027
28,3,0.0059628740673417025,0.003686365252085392,0.008930363426266824
29,4,0.007623380287168679,0.0048592576260273095,0.010961643212155064
30,5,0.006001220386255675,0.003633297640475571,0.009304783439522863
31,6,0.0017446627532667447,0.0010332051975919876,0.0028971126246762047
32,7,0.0010246436704381486,0.000683461773107736,0.0015185513141819337
33,8,0.0007574430023821477,0.0005646626516109952,0.0009928170860218275
34,9,0.0007171391289637248,0.0005353372877310326,0.0009184987897251466
35,10,0.0008505385936760706,0.0006601324267233583,0.0010612934790051039
36,11,0.0009615388843582644,0.0007323351392205165,0.0012144281225465103
37,12,0.0009446024410440127,0.0007659940723276376,0.0011836100025451074
38,13,0.001084972573114952,0.0008656785578990754,0.0013608728406194221
39,14,0.0010084899982959776,0.0008359984487273778,0.0012097262399593583
40,15,0.0012471142485317,0.0010275513758458107,0.0015272690351419726
41,16,0.000933194364711114,0.0007518133536331138,0.0011385636446122542
42,17,0.0012208750449915183,0.0010122415459239873,0.0014450836075611143
43,18,0.0014628016964000658,0.0011931927695074127,0.0017809522658900627
44,19,0.0012164021239110998,0.001010630702211296,0.001456768340436317
45,20,0.0018981989411751548,0.0016591741316975977,0.002174443393467881
46,21,0.0019390852631584285,0.0016108909648065778,0.002308094831169443
47,22,0.001760500642758535,0.0014724177908327723,0.0020785805706718505
48,23,0.001752290561570779,0.0014612146935474432,0.0020720215827516935
49,24,0.0014669165010016906,0.0012057316013969496,0.001767376152381775
50,25,0.0016501421269344697,0.0013833155751477408,0.0019372662024604952
