video,sim_retrospective,sim_retrospective_lower_ci,sim_retrospective_upper_ci
1,0.0,0.0,0.0
2,0.35,0.35,0.35
3,0.12324009270799516,0.10520286367919547,0.12423743195451178
4,0.1333166665111865,0.1332913259623075,0.1333312207648574
5,0.2799932336168625,0.2799932336168625,0.32978481273971044
6,0.0,0.0,0.0
7,0.25581374971417686,0.05321392914564862,0.2931594033954764
8,0.0,0.0,0.0
9,0.1,0.1,0.1
10,0.0,0.0,0.0
11,0.4171930174266709,0.4165425985304879,0.4192445046277227
12,0.1954883110063485,0.1954883110063485,0.24135293848582653
13,0.12080332990492985,0.11250566952513948,0.12080332990492985
14,0.0,0.0,0.0
15,0.5278641613769267,0.5278641613769267,0.5739838016988225
16,0.29031004050348347,0.2747323402849826,0.2912642177552094
17,0.4733568036879521,0.399926021386909,0.4733568036879521
18,0.09758389509810728,0.09758389509810728,0.19490011124229376
19,0.15,0.15,0.15
20,0.5219979879055968,0.5154204235309067,0.5219979879055968
21,0.09848443755228556,0.09848443755228556,0.15501685931480877
22,0.05,0.05,0.05
23,0.05,0.0,0.05
24,0.8190847663964684,0.8186616437242187,0.8206802011106793
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.65,0.65,0.65
28,0.013969995460460844,0.013858279344540484,0.014183509234060889
29,0.25008479107938,0.23943886961300648,0.28082377203387915
30,0.3,0.3,0.45008003373112926
31,0.0,0.0,0.0
32,0.23942437295709032,0.21581692791441148,0.24147118971406475
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.26929154814350664,0.26207138820599235,0.26994631064198293
37,0.2567028040101115,0.2567028040101115,0.37331320995135925
38,0.4146795733162941,0.2863642887049949,0.41605032381087625
39,0.0,0.0,0.0
40,0.43698976115073174,0.43698976115073174,0.48788615417528974
41,0.6441407942046299,0.5462881066854586,0.687225059017863
42,0.4416613561171901,0.43925579496143774,0.44340248886808614
43,0.23061650550028284,0.08217035958743342,0.2801656104104021
44,0.1,0.1,0.15
45,0.5533212933299467,0.5533212933299467,0.5555722039837507
46,0.13735596309275078,0.13515603915877236,0.18657881350315958
47,0.1,0.1,0.1
48,0.0,0.0,0.0
49,0.576301239779867,0.5752365677463132,0.5802876567726762
50,0.0,0.0,0.0
51,0.39994893692608746,0.399863513961522,0.39994893692608746
52,0.8991602830752623,0.8991602830752623,0.9242927758325861
53,0.9499664904789139,0.8999794791578225,0.9499732221555035
54,0.9741251117824445,0.9247052353596203,0.9747142285489379
55,0.8990880723738558,0.8988611327736242,0.9491776203434714
56,0.35,0.35,0.9495860966485801
57,0.53254988045113,0.53254988045113,0.5330287645433267
58,0.849443915305345,0.849443915305345,0.8498715940692592
59,0.75,0.75,0.75
60,0.7992444490717102,0.7976207889649095,0.8491153118780751
61,0.9996476869069321,0.9745179609293297,0.9996476869069321
62,0.8312452782861337,0.830907676328758,0.8313972420015008
63,0.55,0.55,0.55
64,0.9998708874624178,0.9997469642899883,0.9999739432831563
65,0.9073389870904774,0.7813059365331707,0.9073389870904774
66,0.8991895430377893,0.7990781286958514,0.8991895430377893
67,0.849789340914835,0.8239021955109628,0.849789340914835
68,0.5908298179946586,0.5830996761447069,0.607506455847876
69,0.999208301614057,0.999208301614057,0.999963251496277
70,0.6823158267658755,0.6823158267658755,0.7075303928739698
71,0.7160296287797123,0.7150453256289164,0.7165305599007511
72,0.9068131248467545,0.7402577311951405,0.9068131248467545
73,0.6749904680729529,0.6745629254234446,0.6749911158967214
74,0.8323818708825679,0.7820043903671156,0.8323818708825679
75,0.7244210855644122,0.7244210855644122,0.8249030868725526
76,0.6319460005920078,0.602907287970745,0.6319460005920078
77,0.666186617754877,0.6162108462566674,0.6987139905888625
78,0.8498846635604558,0.8492255275206533,0.8498846635604558
79,0.9234757028185427,0.5821743203224304,0.9492598435803978
80,0.33324803243289836,0.3325821020376421,0.33324803243289836
81,0.8992900378273532,0.8992900378273532,0.9495318176376808
82,0.816169421929396,0.6658615692355272,0.8164855255648569
83,0.6663652945094405,0.666146047133739,0.7485404771765232
84,0.9236487760730908,0.9236487760730908,0.9243397078756157
85,0.25,0.25,0.25
86,0.7745834967667167,0.7745834967667167,0.8991714656370957
87,0.6240681030866739,0.6240681030866739,0.6248165635540995
88,0.6489494725956717,0.6489494725956717,0.6995872104518718
89,0.7993979033219825,0.7736753449332809,0.7993979033219825
90,0.7997418550463544,0.7496169700728414,0.7998277939605982
91,0.641042822787159,0.6075548450424066,0.6662671528283342
92,0.6497303661283709,0.5485877927342266,0.6498521734443629
93,0.8494049990801826,0.6247250962998487,0.9995286475596258
94,0.47411604450661987,0.47411604450661987,0.5498122106989947
95,0.9995292339054302,0.9995292339054302,0.9999756419468863
96,0.524265289893903,0.524265289893903,0.5246116585225169
97,0.9999761761230461,0.9494780941206832,0.9999761761230461
98,0.9498236693796368,0.9497618749587076,0.9498564905334987
99,0.5945565794540155,0.5945565794540155,0.753701296064457
100,0.9999980163985738,0.9495289963248046,0.9999980163985738
