order_run,video_number,MSE,upper_MSE,lower_MSE
1,1,0.01787445854194995,0.013298479560873088,0.024967692493990747
2,2,0.008475056593800125,0.005971379339377167,0.012034749872512785
3,3,0.007564892739249212,0.004843662095825962,0.010952399730715622
4,4,0.007460876127252729,0.005131656894845361,0.010330780877274869
5,5,0.008851280071861953,0.005920577801536931,0.012387453908193805
6,6,0.0036273317109620285,0.002605566856210883,0.005059974243597147
7,7,0.0057387821620655975,0.004138701282208328,0.007956566497030524
8,8,0.005145346397629444,0.0033166586100326716,0.007661833277932233
9,9,0.0017808865384498819,0.00145470703925714,0.0022045551575394897
10,10,0.0019465297366909214,0.0015738716622134428,0.002387305690180336
11,11,0.0019795721582325137,0.001608153898988071,0.002362967581309783
12,12,0.0018462651189346732,0.001530130742901037,0.0022322303255350572
13,13,0.002890320531214996,0.002496450388956632,0.0033383923091369104
14,14,0.00219102092984343,0.0019018134110718049,0.002578898261994051
15,15,0.0023960400015518466,0.0020277325947339374,0.00281363294242019
16,16,0.0020171178367379408,0.001736220588205726,0.0023571317973369536
17,17,0.0021606541346874445,0.0018782388033702752,0.0024833177518407135
18,18,0.0024462920209654205,0.002154812572841325,0.002792146444575059
19,19,0.002373737450988132,0.002080296063249759,0.0027234875532035265
20,20,0.0021138371293220664,0.0017905897515208132,0.002485787223500972
21,21,0.002165481090949976,0.0018594001759406566,0.002530685152376093
22,22,0.002206881447909829,0.0019209398227549878,0.002544425055631532
23,23,0.0019753966156602298,0.0016355044206140144,0.002361989534366235
24,24,0.002078824499341406,0.0017679005763257345,0.002441708859693351
25,25,0.0018593759607507844,0.001583155950826606,0.0021871946591818835
26,26,0.0017158430915274643,0.00142822906735571,0.002057734046208163
27,27,0.0020485283388322283,0.001775790760350177,0.0023901128709951083
28,28,0.001707193503979278,0.0014380880336751875,0.002036002150993427
29,29,0.0019751842159072704,0.0016507885610683572,0.0023499373025066346
30,30,0.0016747012905372646,0.0014008193967456214,0.002000204759165175
31,31,0.0017825690400921196,0.0014919169943237295,0.002125400368022051
32,32,0.0019370654845890505,0.0016457679623183708,0.002261736113872723
33,33,0.002009669837368539,0.0016860733311005963,0.0023503597598383383
34,34,0.00185760058783241,0.0015270300265822464,0.002264037995810855
35,35,0.0022966509555064274,0.0019214027804629096,0.002667994060922606
36,36,0.001963859651482686,0.0016685889867368178,0.0023402701478408843
37,37,0.0019995208410490857,0.001698985017194377,0.0023200402607401567
38,38,0.001923610382591973,0.0016201309014431562,0.00228677628569258
39,39,0.0020064728280801353,0.0016522660040189244,0.0023997404577862894
40,40,0.0020007409301072386,0.0016576898394928005,0.002445254728956924
41,41,0.0018038502640503307,0.0015395018260852945,0.002165652248637106
42,42,0.0019415065183785852,0.0016264966108348192,0.0023689619490268425
43,43,0.0017641024975817003,0.0014587983810138653,0.0021190097969418687
44,44,0.0014140833188943532,0.0011663802134967692,0.001712789432395734
45,45,0.0014965385680712241,0.0012293272153647403,0.0017915084673437336
46,46,0.001622078219178513,0.001304824473413145,0.0019874986165468833
47,47,0.0016668657336029603,0.0013902826958623218,0.001965444961186446
48,48,0.0014704143296028196,0.0011964637153867,0.0017931285506197975
49,49,0.001732365122440268,0.0014659023886209339,0.0020674642275054023
50,50,0.0019007864644964138,0.001564948205291568,0.002287588794906819
