video,sim_retrospective,sim_retrospective_lower_ci,sim_retrospective_upper_ci
1,0.7242980703417542,0.7242980703417542,0.7246820384142934
2,0.95,0.95,0.95
3,0.9999772809927452,0.9998807284186567,0.9999977492234422
4,0.8995796026123977,0.8992926216759054,0.9498595553462701
5,0.8747507728092533,0.6998297633410688,0.8988856291320684
6,0.9994195349633286,0.9994195349633286,0.9999435030760901
7,0.9235210268690007,0.6743919711694468,0.9743090330198807
8,0.9239487813884635,0.9239487813884635,0.9244008118310253
9,0.8245902512352365,0.8244941692861211,0.8247391180740559
10,0.3247613661810189,0.32474078785626304,0.32481307195833137
11,0.8077546691679427,0.8073932331589351,0.8244659151314888
12,0.3413775714139856,0.3413200355735924,0.3413775714139856
13,0.14998974099102902,0.14995526863725359,0.14999882101903797
14,0.6451728848841161,0.6117482281563063,0.7270933121450325
15,0.8989287553620997,0.8989287553620997,0.949546995858964
16,0.6319633652498815,0.6319633652498815,0.6818730237258452
17,0.9995563127401826,0.9488698607219888,0.9996412096527724
18,0.7078775132213988,0.7073606730007235,0.7392344067329825
19,0.9490229133182269,0.9489510861884469,0.9494474977379461
20,0.9999363986882438,0.999657062632088,0.9999363986882438
21,0.949959144196488,0.949638849328769,0.949959144196488
22,0.55,0.55,0.55
23,0.6999049908824887,0.6998308122151503,0.6999049908824887
24,0.9998203672911872,0.9494045238217067,0.9998203672911872
25,0.9996446409578834,0.9996446409578834,0.9996820947557203
26,0.8994215515610937,0.899292661363237,0.8996781944183982
27,0.8976822439843269,0.8470395861784988,0.8976822439843269
28,0.8235970290435006,0.8235970290435006,0.8991417248097348
29,0.6352144355588754,0.4036584643315041,0.6352144355588754
30,0.9998789041742562,0.8995741675176572,0.9998789041742562
31,0.9498665063190679,0.9498106547911066,0.9499514617264019
32,0.8244284665405921,0.8244284665405921,0.9241722881626908
33,0.6410280983996797,0.6410280983996797,0.6913059464318708
34,0.9999375730344109,0.9499216850127248,0.9999375730344109
35,0.0,0.0,0.0
36,0.7999556674857289,0.7991993964232231,0.7999556674857289
37,0.9496220803578685,0.9491707708075172,0.9496220803578685
38,0.8237182631318101,0.8237182631318101,0.9243914025877359
39,0.9999206833590104,0.9992211805339452,0.9999206833590104
40,0.8498591983033841,0.8498591983033841,0.9499242575948893
41,0.9075752119286795,0.8909898758630647,0.9157213134165503
42,0.773659799535237,0.7324210436445073,0.773659799535237
43,0.8239783923422852,0.8239783923422852,0.9490268211386059
44,0.756371957280048,0.6992992104650264,0.756371957280048
45,0.7237558080266584,0.7235161380920074,0.7238285272682632
46,0.8247261558806265,0.7412477119934071,0.8247261558806265
47,0.8733095288151261,0.8729414742691098,0.9492022294270385
48,0.9997486526682534,0.999651406612178,0.9998836205326503
49,0.749620108658416,0.749620108658416,0.7999527303764613
50,0.5997146521641268,0.5745342824284936,0.5998415683800497
51,0.3999390391143172,0.39990147278558485,0.3999651880967687
52,0.9245665999851195,0.8732627825305466,0.9246858233947479
53,0.9499185955220548,0.899965041560978,0.9499594465519874
54,0.974696150618714,0.8744647509580862,0.974696150618714
55,0.8993446923586298,0.8987460317742894,0.9493272656118517
56,0.35,0.35,0.9494177234221379
57,0.5415164645414686,0.5079853771758761,0.5415164645414686
58,0.8495916939400938,0.8491189237335011,0.8497741869965676
59,0.75,0.75,0.75
60,0.8491448636382094,0.4494737371339765,0.8491448636382094
61,0.9997286694830445,0.9743882839368689,0.9997286694830445
62,0.829035020536331,0.829035020536331,0.8810132448069284
63,0.55,0.55,0.55
64,0.9997944980140178,0.9997944980140178,0.9999157124028658
65,0.6738670940107236,0.6738670940107236,0.907786134424678
66,0.8494437524533998,0.7991641159503837,0.8494437524533998
67,0.8242063069758796,0.8240455716477866,0.948933076417125
68,0.5906219675402152,0.43272813315888986,0.6078431556115953
69,0.9998541227502148,0.9985107324977609,0.9998541227502148
70,0.7078669456111686,0.6659432576202754,0.7078669456111686
71,0.7164533764589887,0.716303430432397,0.7165836573021499
72,0.848394561893658,0.756953870861544,0.9329132480869978
73,0.6748905560398455,0.6746539533980852,0.6749795644410201
74,0.8081674732223936,0.807451692960262,0.8081674732223936
75,0.6745384003229677,0.6745384003229677,0.8247914027065665
76,0.6067685134237882,0.6067685134237882,0.6244735528523693
77,0.5155279140959313,0.5155279140959313,0.6163976910571979
78,0.8498585653234484,0.8484549674924384,0.8498585653234484
79,0.5820057403361161,0.5820057403361161,0.9231604544993146
80,0.3325267873869774,0.3325267873869774,0.3332553411720044
81,0.9494263215925877,0.8990625940382841,0.9494263215925877
82,0.7160763195593386,0.7160763195593386,0.8164991209693303
83,0.6909526577025165,0.64085200432492,0.6911249352657692
84,0.9241664418555675,0.9239609025027452,0.9241664418555675
85,0.25,0.25,0.25
86,0.8498856316021735,0.7245414042810157,0.8498856316021735
87,0.9741639504252909,0.6237916034408013,0.9741639504252909
88,0.699262768660441,0.6489374245939858,0.699262768660441
89,0.7987175501056857,0.7236834277252883,0.7987175501056857
90,0.7997829342683083,0.7996880471067314,0.7999202123906487
91,0.6666175199740703,0.6415405862515381,0.6666295191652151
92,0.6490646426491481,0.6490646426491481,0.6497966545431888
93,0.9996745565864961,0.9493920609486205,0.9996745565864961
94,0.5499505893010213,0.5499505893010213,0.5499942148815837
95,0.9998435678369131,0.9997830480343687,0.999971074048345
96,0.5246216732199558,0.5244619530104724,0.5247451796243058
97,0.9999113828274908,0.9999039823971128,0.9999878960467493
98,0.9499292250206162,0.9498373090429155,0.9499292250206162
99,0.7286483466847155,0.6952646970408243,0.7286483466847155
100,0.9999619483465304,0.9998889415573317,0.9999863460859568
