video,sim_retrospective,sim_retrospective_lower_ci,sim_retrospective_upper_ci
1,0.5746415314700744,0.5746168146857529,0.5747416316647062
2,0.95,0.95,0.95
3,0.9999193016708782,0.999889626207256,0.9999539804425271
4,0.5248037593890588,0.5247280641096108,0.5248130985638114
5,0.6996985164650742,0.6996694721598845,0.6996985164650742
6,0.9998248915793848,0.9988822248858925,0.9998280422990584
7,0.6746776278327147,0.6746005130458828,0.6748198163554257
8,0.7749456736685436,0.7747702912684358,0.7749456736685436
9,0.8247156538092817,0.8234887952437902,0.8247860563359695
10,0.3248040059205798,0.3246896304748319,0.3248382425045327
11,0.47485118258533277,0.47455018876712096,0.47492612424078723
12,0.3413419267341421,0.340999377355631,0.3413419267341421
13,0.14999757749832024,0.14970356187345835,0.14999757749832024
14,0.3080345099220316,0.3080212189282424,0.7280569026469215
15,0.9998641467639195,0.9490689985509579,0.9998641467639195
16,0.4477137617956126,0.44708787734831024,0.498410140066754
17,0.8749328323984624,0.8242890303189885,0.8749328323984624
18,0.5414527034655133,0.5408812624371538,0.541592237046153
19,0.9491684419177604,0.9480408317788196,0.9492078351893118
20,0.9999094319222234,0.9996914659151301,0.9999094319222234
21,0.749769964402864,0.6999680149499722,0.7499647387713952
22,0.55,0.55,0.55
23,0.6999430674806295,0.599616035782257,0.6999430674806295
24,0.8989963768511016,0.8989963768511016,0.8998389947440757
25,0.999093230166628,0.9990103205612216,0.9998214128233374
26,0.949360364779826,0.8992927800981046,0.949360364779826
27,0.898100403072281,0.8979410022105672,0.8982893112791623
28,0.632546939432479,0.38281570589374814,0.632546939432479
29,0.44506188112294875,0.44506188112294875,0.4455289272778368
30,0.8995922512903579,0.8986225470305935,0.8997935009744292
31,0.949797379698348,0.8992543443981846,0.949797379698348
32,0.5912315470666489,0.5912315470666489,0.5915699225942522
33,0.6741208274989393,0.6738562017185769,0.6996935701591278
34,0.9997047483212718,0.9497104084130626,0.9999186441923736
35,0.0,0.0,0.0
36,0.7998531943148766,0.7994816997176719,0.7999029738938491
37,0.6248345626507803,0.6243783773251651,0.6248345626507803
38,0.8749066608632065,0.7738487082461358,0.8749066608632065
39,0.9998855656494909,0.9993533500693863,0.9999491921357968
40,0.8998187577449019,0.8998187577449019,0.9999563665392209
41,0.46644143533368976,0.466297735433467,0.4665522386256142
42,0.1913845495096725,0.1913845495096725,0.6164309895697999
43,0.724124642374177,0.723655145969992,0.7242084700343707
44,0.5379551754414341,0.49167204847858637,0.5708866077394529
45,0.723780633578514,0.7228631144002511,0.8242664880861641
46,0.5499911406242299,0.5499653569817033,0.5499974591182877
47,0.6489550167133771,0.6487416466809471,0.6489981612449872
48,0.9998873928012391,0.9997234778952521,0.9999277756212679
49,0.7498192986563088,0.7494590709039146,0.7998627947925635
50,0.5997843811941479,0.5996976856628305,0.5998594481988355
51,0.3998508280787931,0.3498807459335826,0.39994218630506306
52,0.27485625613348785,0.27485625613348785,0.27492782645196845
53,0.899978381917616,0.899978381917616,0.9499509865798966
54,0.9245252674115868,0.9245252674115868,0.9249441201489279
55,0.7246619082431859,0.7246111822357028,0.7247011277191309
56,0.9488330896089202,0.8987460413817725,0.9998906709804457
57,0.6498593422019769,0.6497448090873962,0.6498593422019769
58,0.6498882947083585,0.6498882947083585,0.6499761059828261
59,0.75,0.75,0.75
60,0.4496625264395628,0.4495335733980784,0.44969773584402917
61,0.7249302389091973,0.7249083292913331,0.7249551941012612
62,0.7901123608928344,0.7897774723024061,0.7901532442026405
63,0.55,0.55,0.55
64,0.9999288044467521,0.9997195595052932,0.9999288044467521
65,0.37458787623760725,0.3745241972494135,0.37460119788749
66,0.37193396257785083,0.37152878885953056,0.37268993406140893
67,0.699869387328911,0.6993978778420598,0.699869387328911
68,0.72481190485621,0.724331688078979,0.7249691421227518
69,0.9995260860315331,0.9993345299318364,0.9998334217258746
70,0.5998226229642102,0.5997097406518709,0.5999642855593244
71,0.7081525025364287,0.7078477719858846,0.7081525025364287
72,0.5740168399491412,0.5736528549582883,0.5740168399491412
73,0.6748663559040264,0.6744298606142581,0.674949359042667
74,0.8742190896863941,0.8742056762612668,0.8749111368208791
75,0.7248410325231462,0.7247783573312094,0.7248410325231462
76,0.49068037356732114,0.4884081051536807,0.6408580218844288
77,0.6987128102151511,0.6983781538548961,0.7487852264024525
78,0.42499344114910576,0.42498413364697074,0.42499344114910576
79,0.26612094242746437,0.2657472546157177,0.26612094242746437
80,0.4980743284020157,0.4980743284020157,0.499565211026806
81,0.6247136255641902,0.6246448374261683,0.6247474049062566
82,0.7496550467216738,0.6995640636850347,0.7496572242261696
83,0.524767262968521,0.5242919021476129,0.524767262968521
84,0.799108578856585,0.7990403104023579,0.7993475605271394
85,0.25,0.25,0.25
86,0.6498600468289742,0.6498418259686869,0.6499121843313169
87,0.4993670075418829,0.4993670075418829,0.49992694132854976
88,0.6996377072922428,0.6494402789293783,0.6997516546057877
89,0.6741040397889627,0.6741040397889627,0.6747049258971578
90,0.7496542961363665,0.6994628672975098,0.7497859373904224
91,0.5332508853804143,0.5330777005005799,0.5333145000965522
92,0.6497561705320887,0.5481129203441368,0.6497561705320887
93,0.6246888386476035,0.6246888386476035,0.6249417147263002
94,0.47356566873672473,0.47208693705338967,0.5499357046190111
95,0.9997554959646809,0.9997554959646809,0.9999344500858918
96,0.2907817853193021,0.2907817853193021,0.2915737082770073
97,0.9997972801222972,0.55,0.999908165863421
98,0.9499424630450622,0.9496891459588481,0.9499653873864353
99,0.34953621318315165,0.34923665835302564,0.3929550753798599
100,0.9998975366990643,0.9997295048182269,0.9999358803762208
