video,sim_retrospective,sim_retrospective_lower_ci,sim_retrospective_upper_ci
1,0.392472038483313,0.2399644868669215,0.528929840420998
2,0.5088601384224741,0.4406665652595919,0.6330275617520658
3,0.3406759946580331,0.3406759946580331,0.5247563517581946
4,0.3326545260479151,0.3240570459409394,0.36624924152220045
5,0.8969631000121234,0.7405941147330928,0.8981537581565071
6,0.3916145914152336,0.3484148517913332,0.5472175438583118
7,0.20841087945562276,0.19159252749711914,0.24827368203547767
8,0.9487474297280922,0.9487474297280922,0.9498360521027873
9,0.19681444723113334,0.1964404979987082,0.4951941517275887
10,0.4722482159375243,0.4685234998266714,0.4903196959317305
11,0.799959261236526,0.7995620865035904,0.7999765241685375
12,0.7496650044212058,0.0,0.7497576653371538
13,0.8498635663638847,0.8496740387157328,0.8498635663638847
14,0.6231491393490735,0.408106581762233,0.6231491393490735
15,0.9988621894660022,0.949599030885435,0.9998425306248251
16,0.4581943665007023,0.45811890752850354,0.4583153441141695
17,0.3161571202573793,0.3161571202573793,0.5236613829090686
18,0.6982993942515004,0.697559515261422,0.6998098234012127
19,0.2944141763839835,0.24028486607850175,0.3195664236226014
20,0.5,0.5,0.5
21,0.3246927269778143,0.31658274938097253,0.37457889859472493
22,0.25,0.25,0.5
23,0.24983886350026657,0.24983886350026657,0.24996666153360586
24,0.5495743479816493,0.49939188662725104,0.5495743479816493
25,0.5154027825776601,0.35958273754356307,0.8994255767356625
26,0.2206289830577178,0.2122237990429789,0.28312077320289114
27,0.999883665453099,0.9499236179393721,0.9998973137873983
28,0.2902802826775335,0.2902802826775335,0.34050326472419373
29,0.7944253873744697,0.7944253873744697,0.8964697858521473
30,0.2114537354482282,0.2114537354482282,0.29687073218329724
31,0.2404924923047665,0.2404924923047665,0.5406516381193064
32,0.2798629157762679,0.24150392266962867,0.5517804092512832
33,0.4333119611545294,0.4333119611545294,0.6195390188954014
34,0.34988933200426553,0.3497457140617423,0.34988933200426553
35,0.5486619626547496,0.548610915897453,0.5577279377489611
36,0.3767063607461746,0.3767063607461746,0.5636469389134964
37,0.9466343271866651,0.9450149227969534,0.9475265817415938
38,0.25783595413449,0.25775500237262566,0.25812084291905635
39,0.8713860900891575,0.0,0.8713860900891575
40,0.40363511011170916,0.2984797631887451,0.40363511011170916
41,0.31320907101880596,0.31320907101880596,0.3188935935848305
42,0.6749347634208904,0.6749347634208904,0.9498144438787891
43,0.3498668146752714,0.2900861372951699,0.4329364555175334
44,0.9498011538077549,0.9497301751116354,0.9998967481158667
45,0.386350171058348,0.37323015934693,0.5903456627370969
46,0.6727380301252145,0.6727380301252145,0.798207398906443
47,0.4991684194317303,0.4991684194317303,0.5723312833907517
48,0.9998086349567845,0.999482072585864,0.9998908549525641
49,0.4248045164129615,0.24985934499313384,0.6499013454845814
50,0.5,0.5,0.75
51,0.39909089825163313,0.39768269656147237,0.3991504699275571
52,0.397440970993591,0.397440970993591,0.6222769116371485
53,0.2792665846528784,0.2792665846528784,0.45715360860205606
54,0.8459393402849529,0.7938918094730563,0.8974340633815897
55,0.29957390506669446,0.16175117825850574,0.3992878231411728
56,0.35,0.35,0.949722075564322
57,0.7223376290001927,0.3246323463836863,0.7223376290001927
58,0.1,0.1,0.1
59,0.12879003904591274,0.1121834996920642,0.4404321212347927
60,0.0,0.0,0.2
61,0.2,0.15,0.2
62,0.6727568369735338,0.3700019206372337,0.6727568369735338
63,0.7488470925764312,0.7484774053374574,0.7494636155300259
64,0.6239417907966793,0.6239417907966793,0.9496291395784627
65,0.19697352250829087,0.14828104376741436,0.4488738296671261
66,0.47156915609348404,0.4062344485240631,0.6304688482908882
67,0.7478532763637693,0.43186333059705717,0.7478532763637693
68,0.9997625593741806,0.9495432082187193,0.9997625593741806
69,0.0,0.0,0.6241498386024501
70,0.5243410590298508,0.48192276920047217,0.6072485246956214
71,0.931559318926334,0.5855038508676309,0.931559318926334
72,0.9152140474194548,0.34961950927600965,0.9152140474194548
73,0.2752388294291627,0.2752388294291627,0.37939112850998463
74,0.6661720181084888,0.6491210963157129,0.974633266356879
75,0.5997592917707337,0.0,0.5997592917707337
76,0.4636275368637913,0.2464494026635128,0.4636275368637913
77,0.815876221859558,0.5829979738967431,0.815876221859558
78,0.5936838235446704,0.5872122118566603,0.5936838235446704
79,0.19062952327887767,0.19062952327887767,0.33593594201145793
80,0.9486051360223712,0.8974632809644879,0.9491993346614048
81,0.6,0.49870571282066517,0.6
82,0.26226252314986015,0.26226252314986015,0.3631382451347937
83,0.3242397379326173,0.3032130725590422,0.40751910684034165
84,0.6160197992580684,0.5908413126273562,0.6745361331567483
85,0.1832006548101975,0.18314112074701036,0.18331953900696513
86,0.8713958481128972,0.3902226631275279,0.8713958481128972
87,0.5497346802222254,0.5385061836123068,0.6972455811009517
88,0.6998962265105544,0.6491282906815359,0.6998962265105544
89,0.7247800465164975,0.5605896065597169,0.7248643927339159
90,0.7989200794957847,0.7989200794957847,0.8492057273384066
91,0.35825020233171856,0.35822665487339644,0.3583241697761166
92,0.3,0.3,0.9998550618561085
93,0.946100731097852,0.8970299429806895,0.946100731097852
94,0.5725713315837276,0.5725713315837276,0.6415133286738113
95,0.4568889020994697,0.4568889020994697,0.9994979878618958
96,0.4745888297841591,0.20807793639482894,0.4745888297841591
97,0.0,0.0,0.0
98,0.8150789388054612,0.3325883771267373,0.8150789388054612
99,0.5438546330778496,0.5438546330778496,0.702005990817518
100,0.35,0.25,0.848901090267033
