order_run,video_number,MSE,upper_MSE,lower_MSE
1,1,0.1926141219762572,0.17892401407499864,0.2102303008134093
2,2,0.055670007065417616,0.05132823147649743,0.0615481703354724
3,3,0.039455160314659586,0.03592353928260255,0.04402829975020825
4,4,0.03644924844662038,0.033768572559804574,0.03999559543554496
5,5,0.012421217181491126,0.011447835522992493,0.013714117552300774
6,6,0.014724398792116955,0.012736858445967215,0.01723235537758903
7,7,0.018705189593913964,0.017482345334232485,0.020682268644115202
8,8,0.014976337629637543,0.01393872443799693,0.01663709269263465
9,9,0.013686781572780481,0.012198033624863963,0.015879383891470738
10,10,0.007931981666585602,0.0064383579493338255,0.010106714900745007
11,11,0.0053408268870337805,0.00409798548678734,0.007210348684010037
12,12,0.005640442644505641,0.00438574493743609,0.0074961717493290635
13,13,0.004688549937154563,0.003582201016644062,0.006379110532329822
14,14,0.00833788918965538,0.006823570401454374,0.010407073835566839
15,15,0.004820882485880781,0.004193197502617965,0.005744720610579624
16,16,0.008248400030358784,0.0075912591496641825,0.008872433669330026
17,17,0.0061004197262442515,0.005642969024319701,0.00666116971330213
18,18,0.005484359604521242,0.004944093873379099,0.006128667567976198
19,19,0.005338844433188764,0.0050074767448670225,0.005679016681892481
20,20,0.004134228639253706,0.0038469110767636993,0.004458754638869092
21,21,0.00324638322873147,0.002976335689464291,0.0035463802814797722
22,22,0.0030798973465283415,0.002816779306167857,0.003388899058381609
23,23,0.00301478466996895,0.0027487628482691685,0.0033035751702970794
24,24,0.003107881377563611,0.002894709862830335,0.0033703191330791875
25,25,0.004187315166181796,0.00389023552770935,0.00453090648420535
26,26,0.0031877391856699145,0.002910638297065995,0.003495524049603135
27,27,0.0031921889841770384,0.00293488702549406,0.003486271852883964
28,28,0.0032350717109485686,0.0030039136950150026,0.0034898454197435677
29,29,0.0031563102808480335,0.002927121150763046,0.003380061599984761
30,30,0.002675467698443092,0.0024715832938346223,0.00291572189423964
31,31,0.0027635670089981683,0.002536341749698857,0.003032387389648889
32,32,0.0025250868547569212,0.0023228473953116574,0.0027560462501814748
33,33,0.0029398188207353966,0.0026903852625480363,0.003204732487026899
34,34,0.0023354917624679975,0.002135528151006407,0.0025558940946307602
35,35,0.0024871277118984187,0.002263927767412722,0.0027251680164431164
36,36,0.0027488057411062306,0.002529464142708648,0.00297927041656685
37,37,0.002832500282767924,0.002655728476885701,0.003050738035180036
38,38,0.0026783081602581374,0.002461482870371969,0.0028997062044295186
39,39,0.0028777014260117926,0.002632546409105041,0.003131084255756873
40,40,0.0027351648844334544,0.002514983673982039,0.0029692179718035358
41,41,0.003051475658163004,0.002817571139740265,0.0033078098103105887
42,42,0.002976259494781262,0.002788065143753402,0.0031779121889452364
43,43,0.00301898555942518,0.002824194615670532,0.0032392027809370117
44,44,0.002497189440060166,0.002305440976214338,0.0027125510208355474
45,45,0.0029034041281787034,0.002687710122879029,0.003142797891829559
46,46,0.0026755298284041732,0.0024765970021071665,0.0029112754715657865
47,47,0.00286080814076345,0.002705007735613194,0.003058287287447641
48,48,0.0023793610693213785,0.0022163518736410936,0.002537758013931065
49,49,0.0024417525192630177,0.0022648465059233298,0.002623535754656002
50,50,0.0025908086203053553,0.0024025674215866024,0.0027806778997989828
