video,sim_retrospective,sim_retrospective_lower_ci,sim_retrospective_upper_ci
1,0.574519070340132,0.5744460087762129,0.5746285306012207
2,0.95,0.95,0.95
3,0.9999593602166055,0.9998597204329375,0.9999593602166055
4,0.5248731693343325,0.5244374383285452,0.5248731693343325
5,0.6988247841085146,0.6988247841085146,0.699773266232157
6,0.9994331739112775,0.9989168934407635,0.9995998380155632
7,0.6749865159361994,0.6746373553294894,0.6749865159361994
8,0.774902011218976,0.7745622317664329,0.7749547088139092
9,0.8240430518769706,0.8240430518769706,0.8248155781086203
10,0.32459172385813184,0.32443938320707477,0.3248372448103684
11,0.4749772223864491,0.47491351738922327,0.4749772223864491
12,0.3413707448145411,0.3412918977446455,0.34138330161258873
13,0.1499744651007519,0.1499293765417215,0.14998243890750648
14,0.3581454399415557,0.35812645713912183,0.35814741669175587
15,0.9492463549100751,0.9491864937101167,0.9493937150382876
16,0.44764800221420636,0.44721076948989946,0.4476836276160466
17,0.824168143928745,0.8238490482433403,0.8746545196051481
18,0.5412452451155791,0.5412328729333694,0.5415810612601354
19,0.949313534237089,0.948509429442573,0.949313534237089
20,0.9999114879765478,0.9996421344657431,0.9999722568138939
21,0.7499366118171499,0.7498866016385848,0.749950815455499
22,0.55,0.55,0.55
23,0.6998358386905322,0.6498579044849977,0.6998358386905322
24,0.8998649745531363,0.899588769932049,0.8998649745531363
25,0.9998269887544312,0.9991384014585325,0.9998269887544312
26,0.8995414251105736,0.8995414251105736,0.8996235963305843
27,0.8984133246986191,0.8481130881949648,0.8985870053768513
28,0.6325909699879495,0.6324208734118629,0.6831481538582626
29,0.44553376800081457,0.4448479147403924,0.44553376800081457
30,0.9498846245909516,0.8987486492201284,0.9498867516892521
31,0.9498081071800092,0.9492822126679016,0.9498081071800092
32,0.5912157773898155,0.5909222144467262,0.5912273901813214
33,0.6744816238040664,0.6738144470694907,0.6744816238040664
34,0.9495783469284582,0.9495783469284582,0.9997786467257999
35,0.0,0.0,0.9987718047078182
36,0.7996183241393049,0.7991741369589273,0.7997075817857124
