video,Jacc_sim_online,avg_dist_online,Jacc_sim_retrospective,avg_dist_retro,Jacc_sim_lesioned,avg_dist_lesioned
1,0.3333333333333333,0.2405920578592278,0.3333333333333333,0.14507871718980128,0.3333333333333333,0.12084505560247255
2,0.0,NaN,0.0,NaN,0.0,NaN
3,1.0,0.1591269297878578,1.0,0.32164979057322046,1.0,0.2676386509930657
4,0.6666666666666666,0.3028190088400137,0.5,0.447551677887402,0.3333333333333333,0.21960296412322047
5,0.3333333333333333,0.20585897194717792,0.3333333333333333,0.17679969043217156,0.5,0.35438744790619475
6,1.0,0.10777038539190237,1.0,0.2138427837123063,1.0,0.10079842503556974
7,1.0,0.14486818555012793,0.5,0.14535740600361163,0.5,0.11452401081013452
8,1.0,0.31333971772051505,1.0,0.27267300998111405,1.0,0.3554289442338075
9,1.0,0.2909077684699654,1.0,0.38782564046653384,0.5,0.1499408056071635
10,0.3333333333333333,0.1438341870825408,0.6666666666666666,0.1583795661303659,0.3333333333333333,0.21614624683806372
11,0.25,0.10596645912076122,0.3333333333333333,0.14574885667059823,0.3333333333333333,0.040547602200879516
12,0.6666666666666666,0.21013609887587464,0.6666666666666666,0.2655324576783403,0.3333333333333333,0.2364019620177036
13,0.5,0.4305941537667416,0.5,0.36393559497402994,0.5,0.30553223503106286
14,0.5,0.49452401379124883,0.4,0.4319349894773474,0.3333333333333333,0.4689910271011579
15,1.0,0.22959973905448838,1.0,0.3199629476129949,1.0,0.27519525642094134
16,0.5,1.3844081258001995,0.25,2.2608493714980447,0.3333333333333333,0.37576020455848214
17,0.6666666666666666,0.3405755558464233,1.0,0.3956540378686419,0.5,0.2899338573341842
18,0.6666666666666666,0.27700531920689453,0.6666666666666666,0.7660822287718325,0.3333333333333333,0.4237433814524108
19,1.0,0.4047205468975058,1.0,0.27050013693092695,1.0,0.2864409514554605
20,1.0,0.3328655191230632,1.0,0.2946130811976652,1.0,0.45217855930009165
21,0.5,0.22265989163266092,0.5,0.46755583911576754,0.5,0.28127368974162537
22,0.0,NaN,0.0,NaN,0.0,NaN
23,1.0,0.6173556608031383,1.0,0.6975298942492821,1.0,0.5332172567167297
24,1.0,0.34146115406701266,0.5,0.20641491641288087,0.5,0.13949540754053866
25,1.0,0.21968600770410596,1.0,0.1380961232364609,1.0,0.17453433300610263
26,1.0,0.3685820176333458,1.0,0.3455813434876627,1.0,0.44321217828561754
27,0.3333333333333333,0.21457699906872432,1.0,0.42250618751019664,1.0,0.4426402819846158
28,1.0,0.6836881846419279,1.0,0.35534087862795793,0.3333333333333333,0.2940313963719218
29,0.25,0.49822789607935913,0.25,0.8052968303035475,0.3333333333333333,0.38913630502978347
30,1.0,0.1103104940667218,1.0,0.2685551043808259,1.0,0.09790187347707198
31,1.0,0.16314063266061812,1.0,0.2427185882723259,1.0,0.2586060228496288
32,0.6666666666666666,1.0164348820385518,0.3333333333333333,0.7436871536101481,0.3333333333333333,0.35177979850849767
33,0.5,0.175650076208609,0.3333333333333333,0.5572604071714413,0.5,0.10767904898882076
34,0.0,NaN,0.0,NaN,0.0,NaN
35,0.5,0.4304438170202266,1.0,2.9751020040424567,1.0,3.035309060787753
36,0.5,0.1317414035140213,0.5,0.17308032531307044,0.5,0.1443588678853686
37,1.0,0.22303459594079975,1.0,0.1622632153592959,0.5,0.13109948025052603
38,1.0,0.4582232898595763,1.0,0.36342677902473897,0.5,0.3168806013514815
39,1.0,0.2626670304341581,1.0,0.17357052657523653,1.0,0.23070989408178047
40,0.5,0.5549725587918937,0.5,0.4612755637040865,1.0,0.5302105534658383
41,1.0,0.5421747137999918,1.0,0.3007451207586474,0.6666666666666666,1.1839582194009275
42,0.6666666666666666,0.44888261428658793,0.6666666666666666,0.30749454092907563,0.3333333333333333,0.4350079354276447
43,0.3333333333333333,0.4750459385168574,0.3333333333333333,0.452148670120691,0.5,0.38881253944845273
44,0.2,1.0672370821382258,0.2,2.5065628216341374,0.3333333333333333,3.128820775932109
45,0.3333333333333333,0.4025768002623043,0.3333333333333333,0.398345113229526,0.5,0.4148377801039885
46,0.25,0.9172978326807831,0.25,0.8853885371587941,0.3333333333333333,0.33580304947362954
47,0.5,0.3885632765793877,0.6666666666666666,0.7682365898807832,0.5,0.3199741163849243
48,1.0,0.13251082714668125,1.0,0.06657235578880355,1.0,0.08209654680680463
49,0.5,0.1289563016523893,0.5,0.06372602009909609,0.5,0.1266257690613663
50,0.5,0.22125511484457566,0.5,0.21186439088781062,0.5,0.21478987357210458
51,NaN,NaN,0.5,0.12923399754255036,0.5,0.18415571743848883
52,NaN,NaN,1.0,0.46791617597069946,0.5,0.513494029973815
53,NaN,NaN,1.0,0.20023286616976538,1.0,0.09720660552751953
54,NaN,NaN,1.0,1.2979531312410304,0.5,0.0601485179413525
55,NaN,NaN,1.0,0.3609754899230267,0.5,0.1679671864481769
56,NaN,NaN,1.0,0.123253416772701,1.0,0.12697416805529485
57,NaN,NaN,0.3333333333333333,0.329655687118522,0.5,0.09167836318917795
58,NaN,NaN,0.6666666666666666,0.2972296552107415,0.3333333333333333,0.10762613762831312
59,NaN,NaN,0.0,NaN,0.0,NaN
60,NaN,NaN,1.0,0.31684221799252255,0.5,0.23612919132575785
61,NaN,NaN,1.0,0.30241290670042553,0.5,0.13359180954089822
62,NaN,NaN,0.6666666666666666,0.35045939911160173,0.3333333333333333,0.3831352577278802
63,NaN,NaN,0.0,NaN,0.0,NaN
64,NaN,NaN,1.0,0.07345521990980629,1.0,0.08929787844249427
