model,lower,upper,mean,group
RetroInput,0.007617397024323404,0.07472489566319192,0.03958750000000001,A
RetroLesion,0.08493802168404055,0.18158312465971715,0.13145416666666668,A
RetroInput,0.044559272364606294,0.1174665623298586,0.08001666666666668,B
RetroLesion,0.13231427372573776,0.240147913263838,0.18525833333333333,B
