order_run,MSE,upper,lower
1,0.04110715273504774,0.034935549870192414,0.04914260027872047
2,0.009213782928180255,0.006612807589580808,0.01289643425724973
3,0.009333915669437604,0.006683672310453224,0.012909789437187999
4,0.008725490899274931,0.006137069996702269,0.01207847263265719
5,0.007463369044404427,0.004920596809861278,0.010942154393906679
6,0.007460743915298456,0.005012378003243903,0.010518025291042482
7,0.006447282051852856,0.00429804568403691,0.00941360054448694
8,0.007052203534312094,0.004772415534005184,0.010191362555136948
9,0.005499210559814047,0.0036844547792531804,0.007838209581034108
10,0.006265404091788012,0.004225113901797458,0.008871263587658933
11,0.006057077643683433,0.00410938788619226,0.008584588424754885
12,0.005402920724725401,0.0035145786244783215,0.007767695202123954
13,0.004382996411235703,0.0029793496374216554,0.006217619146399525
14,0.006589511002346468,0.004548663230240156,0.009209278403602496
15,0.007051283748388246,0.004742691575769767,0.009799515240799528
16,0.006369338292723197,0.004317124538251399,0.008777281304542047
17,0.0055411982119432735,0.003684024893815032,0.007860983593931975
18,0.005138570829689019,0.0033633877354720277,0.007487900454307965
19,0.004939690430553444,0.003301450325205936,0.006903557622090468
20,0.00474124688558228,0.003281019727775629,0.006766943744499885
21,0.004271811494324141,0.0030497134176353698,0.005744477140395764
22,0.003533039722359824,0.0025649977298542546,0.004671859198245849
23,0.0030776960709886334,0.002163477162962876,0.004176709052854437
24,0.003273615725441216,0.0023656385143718747,0.004440462965621509
25,0.002267817274801261,0.0015850631831847055,0.0031719190407029506
26,0.0027591859169108666,0.0018775321968257427,0.003903953379594295
27,0.002837823051660395,0.00199739995216682,0.0038882282295090295
28,0.0026430950002528084,0.0018700106967023118,0.0036430229363097187
29,0.0029885941466466113,0.0021004241686760606,0.004079580755745582
30,0.002559257723374885,0.001741609888817375,0.0036606323684905294
31,0.001473772929383409,0.0010875970628502368,0.002021916357977686
32,0.0012764739359025666,9.861304596619717e-4,0.0016556467046835589
33,0.0013906689239141996,0.0010857958354845395,0.0017628501877348162
34,0.0013184620628884872,0.0010125593669272966,0.0016908987370498943
35,0.0015193313329692078,0.0012016134351180042,0.0018619826202243052
36,0.001990407994232606,0.0016477444994263135,0.002414918846112269
37,0.002099939220220359,0.0017908609867710453,0.0024645263577602198
38,0.0017091528295325204,0.0014166202393164954,0.002055433905093094
39,0.0017385397471185152,0.0014661867362857266,0.0020778984330819977
40,0.0017312595054726349,0.0014210562125374832,0.0021177462071461433
41,0.0016399134084869728,0.0013786160719679121,0.0019437786284521594
42,0.001677638832863147,0.0014168717178984424,0.0019898987036679316
43,0.0017823185335651378,0.001487243066808924,0.0021219712548915877
44,0.001494329977602525,0.0012514288410450031,0.001771076241874129
45,0.0015364019230079415,0.0012966371816878813,0.0018078906742718455
46,0.0015432801275549887,0.0012935549329537632,0.0018365752892752106
47,0.0014559615814812353,0.0012158455407421252,0.0017279638029726273
48,0.0015906481794198517,0.0013302309209546558,0.00188522103754985
49,0.0014823557781631076,0.001237667105332086,0.001783266667993621
50,0.0015798282868015412,0.001317297604319184,0.0018848120145430072
