model,lower,upper,mean,group
RetroInput,0.2149066428840181,0.3109880207118037,0.26244345238095235,A
RetroLesion,-0.06448505456540195,0.044968136453817795,-0.00897142857142858,A
RetroInput,0.17045840785962482,0.2848826784742049,0.22778928571428572,B
RetroLesion,-0.03251229132638378,0.04185728996525235,0.005212500000000015,B
