model,mean,group
online,0.47508214285714284,A
retro,0.47354583333333333,A
lesion,0.4825172619047619,A
input,0.21110238095238096,A
online,NA,B
retro,0.438425,B
lesion,0.4332125,B
input,0.2106357142857143,B
