order_run,MSE,upper,lower
1,0.8534109665756534,0.808971707153754,0.9008127966163493
2,0.1881194131241172,0.176929445568975,0.2002510437924551
3,0.11767073822089,0.11203329207531314,0.12438242674009557
4,0.05660977567435259,0.05202493301584152,0.06183316145569773
5,0.046240401358535854,0.04247034254761305,0.050636685351295604
6,0.05265070958805415,0.04894393852724815,0.05699633083035069
7,0.03614042965731625,0.032610184548381285,0.04053791502372339
8,0.03925157319115768,0.03639218408800779,0.042743562721198614
9,0.03685226547132837,0.03416456218667996,0.04009356050853993
10,0.0424810419588074,0.04004239457311311,0.0454430128945465
11,0.036368668051132605,0.03343661270810342,0.039777773508976
12,0.025549761005044518,0.022994135667886915,0.02873365317617941
13,0.02560148156791045,0.024158128744076596,0.02736713813783744
14,0.02202712309104902,0.02078470417576271,0.023443042190355843
15,0.023578474698227936,0.02239993273003634,0.02497020191194133
16,0.025215701977574608,0.0242946958324907,0.026295212349027142
17,0.019753569548091154,0.019049090011222056,0.020596530089442802
18,0.018907219026900318,0.018218905952499826,0.01967271117761964
19,0.015905655140654777,0.015285021202823065,0.016572826920094194
20,0.015528164942448476,0.01489205366596929,0.01625873307177802
21,0.013082076421841043,0.01246784754751818,0.013768280075768458
22,0.014948085143227229,0.014363861322381422,0.015581472237525124
23,0.016326263767277117,0.01573353629611092,0.016999525614141846
24,0.015714233808761396,0.01514372770265637,0.016336636061123025
25,0.013621831763626522,0.01308334982105891,0.014207681288579549
26,0.012448393116631325,0.011997821770613152,0.012975641392904129
27,0.015445722164561358,0.014992578610662735,0.015959128740050076
28,0.01590003052139173,0.015357965596712066,0.01649452110698408
29,0.013039774189911531,0.012623948445789913,0.013467022009885435
30,0.011222073710411791,0.01085152558789201,0.011629740024499593
31,0.013863649470290142,0.013397518026333901,0.014379895862043817
32,0.012955526512877926,0.012517775457669352,0.013428011052154663
33,0.01759618502456838,0.017157245007339533,0.018069685320377636
34,0.01608270472305836,0.01560009652557168,0.016607849416284473
35,0.016669202337053553,0.01618278619305673,0.017212084319365377
36,0.015571775627175145,0.01513212034888726,0.01604022168739878
37,0.016251936326412503,0.015815772480409582,0.016726133275814473
38,0.016767239834093884,0.01636577123036205,0.01719434680727029
39,0.016561342889456886,0.016153183860880892,0.01698740268742375
40,0.015412840782194279,0.01503462222980361,0.015807365710098494
41,0.016004961500569643,0.015682607976459637,0.01635403179320567
42,0.016023058765466128,0.015713902800201865,0.016353297599681432
43,0.016226026207547355,0.015907090035893502,0.0165586647739251
44,0.012382216593492541,0.01211001650870086,0.012659849435711324
45,0.014084545447314953,0.013828112112475989,0.014369092052120567
46,0.011963639213954878,0.011679025536594539,0.012265941387191327
47,0.013825024020025794,0.013560815268403595,0.014109095444857316
48,0.013967724605248975,0.013673759310291852,0.0142761255505977
49,0.014719980814736192,0.014437090048373673,0.015014143846504669
50,0.013156380131914818,0.012877801013776089,0.013457367426770195
