model,mean,group
online,0.5052863489478959,A
retro,0.5090386832528347,A
fitted,0.5599013879827581,A
input,0.22477243823428739,A
online,NA,B
retro,0.4774485727789396,B
fitted,0.5314931124061231,B
input,0.23911505458208823,B
