name,X,Y,category
hall,0.2528451843915966,0.331,1
miss,0.346211441173291,0.3256997455470738,1
hall,0.06630489698327527,0.021,2
miss,0.2772147036677786,0.3131241084165478,2
hall,0.27764464784727333,0.546,3
miss,0.3584783936195226,0.22662786467806476,3
hall,0.12068063951816457,0.101,4
miss,0.3235230733104382,0.25422773393461107,4
hall,0.2583395940581579,0.21,5
miss,0.4388482444830023,0.5542725173210161,5
