order_run,video_number,MSE,upper_MSE,lower_MSE
1,1,1.2932638037257838,1.2193516526305435,1.3676389791715386
2,2,0.1527214732531414,0.14384152057238392,0.1630447270995503
3,3,0.16409307139845683,0.15816230089780708,0.1707699692780189
4,4,0.08726774047705871,0.08208252018728443,0.09274320852082608
5,5,0.020193021714658532,0.01691992199757292,0.02486702631299909
6,6,0.046649960264686804,0.04291111948742905,0.051012854960666286
7,7,0.03376346888213142,0.030310570677704825,0.03758068073147285
8,8,0.015147645519911417,0.012561276542357006,0.018658704080488173
9,9,0.011148469592528323,0.009042861892023359,0.014215716672788798
10,10,0.018339989311438345,0.016555483974093663,0.020896567277093114
11,11,0.020783285416194636,0.01766409967908081,0.024424044249406574
12,12,0.01839928104484927,0.015337520301044733,0.021639902523511015
13,13,0.025256869773927965,0.02327406948450434,0.027801797565962322
14,14,0.019199446741610043,0.018303965574619517,0.020325437994683247
15,15,0.030054124285839912,0.028841231409948844,0.031604219269939025
16,16,0.0269559940495946,0.026010509693213196,0.027887970327426976
17,17,0.020259424566751495,0.01937726454969229,0.021148547023615565
18,18,0.020988725181135152,0.02030814397750875,0.02171284731336799
19,19,0.011984601456226143,0.011338658921713013,0.012692173288117333
20,20,0.021338688953379384,0.020541415548353995,0.022128423558575326
21,21,0.012593900639772514,0.011952561858060222,0.013261642893595839
22,22,0.01931914281126779,0.018666135200143787,0.019997491793101972
23,23,0.017163348960149594,0.016487163941870095,0.017952851376442126
24,24,0.018583790346604727,0.018058051098535633,0.019161176534590325
25,25,0.013063074103136932,0.012663418058627793,0.013455559300115532
26,26,0.007231145087368114,0.006962263682880314,0.00752891448852824
27,27,0.019988127527429702,0.019701607995331154,0.020356619337675776
28,28,0.008544822545111288,0.008240666658584098,0.008854154878794106
29,29,0.01605788719231696,0.015696444404190057,0.016409046319337973
30,30,0.00843501705921291,0.008181204994776285,0.008718572654346154
31,31,0.017149471535963884,0.016834049836290763,0.017482345806694565
32,32,0.009110639885378257,0.008814702353440958,0.009401674332895996
33,33,0.020767369237050602,0.020486087203323424,0.021076254730842004
34,34,0.018414440969087224,0.018075319185989917,0.018777815639884485
35,35,0.018246945810173918,0.017956250852526147,0.018561220453975933
36,36,0.016835773053325963,0.016553308563181678,0.017124910403442738
37,37,0.016673951467105888,0.01642287170016722,0.01694135106055495
38,38,0.01650411678847078,0.01624531925274301,0.016756147175907916
39,39,0.015360472950748416,0.015144926635125951,0.015598907846067937
40,40,0.011539684340651907,0.011292038964318508,0.011778732143231394
41,41,0.014050297379254026,0.013818681483847689,0.014295988532332552
42,42,0.01564088588775558,0.015407001191282212,0.015882845552175444
43,43,0.013255558405878573,0.01299513867879135,0.01351408532895318
44,44,0.017461412248913226,0.017214157336686707,0.017729183445739732
45,45,0.011482752306661487,0.011305461961011043,0.011693056861677105
46,46,0.013142215689561778,0.012903173841857875,0.013407537178747642
47,47,0.009974664937656728,0.009758718836203086,0.010223616405162277
48,48,0.013890440038593299,0.013601925880987362,0.014166345502707432
49,49,0.01256653395221786,0.012360000176046212,0.012775829893793073
50,50,0.015710845644405322,0.015432526909673528,0.015996258411812854
