order_run,video_number,MSE,upper_MSE,lower_MSE
1,50,0.013687835492081918,0.010609686561529854,0.018264977633871735
2,49,0.007523137607004122,0.00505111197630788,0.011332212420434291
3,48,0.008997274236234164,0.006033879843939672,0.012808074243615034
4,47,0.009231209544594839,0.006328240769256545,0.013032024732478352
5,46,0.00700359656577775,0.004654544482945411,0.010697021637233661
6,45,0.008690803740304474,0.005531562852262899,0.012703530767367395
7,44,0.004800053650206811,0.002802098555476981,0.0077110424203562
8,43,0.008353307672200204,0.005669772030506918,0.012116418247731024
9,42,0.005276523580693773,0.003109696663795892,0.008406745309046493
10,41,0.007329738677071608,0.00465609396920564,0.010611705277732274
11,40,0.005008392459809784,0.003294615634117697,0.007862687704021354
12,39,0.007234976613174698,0.0048022856535120785,0.010338038277755781
13,38,0.005700901457302171,0.003572894797841057,0.008737035469538168
14,37,0.008772299320112874,0.0057384816506275815,0.012715889623464961
15,36,0.007716119031661699,0.0048920279566070654,0.011067035724865299
16,35,0.006702087199135234,0.0042725838897254235,0.00944819055561957
17,34,0.005582488089627911,0.0033099673028688754,0.008302778645669669
18,33,0.004943161589708806,0.002978681165820171,0.007485397469327611
19,32,0.004607942660817597,0.002851320478815036,0.0067786265112760365
20,31,0.0047238886572150375,0.003106634350565024,0.006890736439663694
21,30,0.005200958174033247,0.004074792482289727,0.006383169705168067
22,29,0.00182554362254327,0.001280421251512086,0.0024964448745172915
23,28,0.004170140272072665,0.0031816603340934723,0.00522875434664578
24,27,0.0017833449362229911,0.0013798680498328874,0.0022809642194434403
25,26,0.0018395256849759033,0.0014555768997365785,0.0023315507515609783
26,25,0.001983419175841346,0.0014557493485946695,0.0026940013527478645
27,24,0.001623872507620762,0.0012693451580586183,0.002130228688952105
28,23,0.0020032695506801692,0.001589889830396683,0.0025111170586744496
29,22,0.001532508815818447,0.001183085638638982,0.002019499279503737
30,21,0.0016102430561751127,0.0011673093504015737,0.0021476450600523113
31,20,0.0014111127458487519,0.0010645166022510233,0.0018497727361709178
32,19,0.0014691043175015697,0.0010550994569086408,0.0020094091604082945
33,18,0.0018618926964663492,0.001331797574469194,0.0025350290048065318
34,17,0.001944410342274619,0.0014000059777009364,0.002607675020353581
35,16,0.002359364233319424,0.0017788525546746376,0.0029758297178563227
36,15,0.004252805617335406,0.003590640215026715,0.0050726046975478264
37,14,0.004851679410019738,0.004223097231487026,0.005549801647872195
38,13,0.0031615977600281467,0.0026678079774461417,0.0037045334187793062
39,12,0.003429317560024235,0.002986285046514499,0.004017112791760011
40,11,0.003163568259201535,0.002617813463861186,0.0037907975197523226
41,10,0.003170856469262394,0.002731625836685438,0.0036040907247482366
42,9,0.00293002879958547,0.002548431445199127,0.0033420883590163306
43,8,0.0032305816317359628,0.002799203140385509,0.0036766815469690957
44,7,0.002794153481781996,0.002392697334327747,0.003202149664514442
45,6,0.0019323137140362747,0.0016725002685604748,0.0021910606478016837
46,5,0.001939963520715611,0.0017220276700270598,0.0021923622055035606
47,4,0.0017199332612231112,0.0015028895837370115,0.0019694929512349833
48,3,0.0018343969856924307,0.0016298715047583245,0.002068119884619645
49,2,0.0014053372022752339,0.0012243568793851914,0.0016208848439739768
50,1,0.0014218482648149615,0.0012488743377167442,0.0016244816306467242
