video,Jacc_sim_online,avg_dist_online,Jacc_sim_retrospective,avg_dist_retro,Jacc_sim_lesioned,avg_dist_lesioned
1,0.6666666666666666,0.5528976261869151,0.6666666666666666,0.5156377085582378,0.3333333333333333,0.1970986020289405
2,0.0,NaN,0.0,NaN,0.0,NaN
3,1.0,1.7735576749458593,1.0,0.18843693567882733,1.0,0.15917708441760725
4,1.0,0.38563135009318966,1.0,0.43567994316189057,0.3333333333333333,0.1575665759522694
5,0.5,0.3751128390830448,0.5,0.1651339664642515,0.5,0.4896142510710108
6,1.0,0.15619411350353132,1.0,0.06213712044323065,1.0,0.18029344913978027
7,1.0,0.2142233682498842,1.0,0.35984053903989693,0.5,0.03639411465151621
8,1.0,0.40742611226082087,1.0,0.24375756109289445,0.5,0.0857879469807832
9,0.5,0.23047859274746585,1.0,0.2464891028193141,0.5,0.23843261851874858
10,0.3333333333333333,0.1587710956646527,0.3333333333333333,0.18955087048541305,0.3333333333333333,0.26046471173805236
11,0.5,0.521330141635224,0.5,0.44434669805929217,0.3333333333333333,0.05948893125085563
12,0.3333333333333333,0.3100568331005916,0.3333333333333333,0.32322867996128124,0.3333333333333333,0.2554305499639714
13,0.5,0.4079100819029348,0.5,1.267454478876483,0.5,0.1706387273217785
14,0.6666666666666666,0.42385155517901185,0.6666666666666666,0.5459134475174799,0.3333333333333333,0.4429455683287545
15,1.0,0.04439106622177701,1.0,0.256050036477393,1.0,0.3033462118815793
16,0.5,0.3569499475071088,0.5,1.0010728502718929,0.3333333333333333,0.36039330571098943
17,1.0,0.2993742253071955,1.0,0.22336467084402806,0.5,0.2576118891489424
18,0.6666666666666666,0.2840388454314133,1.0,1.6591401634406997,0.3333333333333333,0.1966798808355967
19,1.0,0.3265340617687957,1.0,0.3506700863739387,1.0,0.29228199469013333
20,1.0,0.21660686364665604,1.0,0.5435224508318862,1.0,0.23051354395395776
21,1.0,0.4107983662364266,1.0,0.4407712888898284,0.5,0.27061460468558546
