video,sim_online,sim_retrospective,sim_lesioned,sim_NN_input
1,0.30000000000000004,0.3066666666666667,0.28166666666666673,0.16166666666666668
2,0.61,0.3416666666666666,0.4175000000000001,0.2471428571428572
3,0.475,0.3416666666666666,0.36666666666666653,0.17500000000000002
4,0.45,0.45833333333333337,0.45,0.23000000000000007
5,0.875,0.85,0.7,0.4499999999999999
6,0.265,0.4833333333333333,0.39166666666666655,0.19000000000000006
7,0.2958333333333333,0.4041666666666666,0.23000000000000004,0.17666666666666664
8,0.3291666666666666,0.5,1.0,0.10416666666666666
9,0.7916666666666667,0.3666666666666667,0.325,0.20666666666666664
10,0.28583333333333333,0.3166666666666666,0.29999999999999993,0.07011904761904761
11,0.575,0.5083333333333333,0.35,0.15250000000000002
12,0.3333333333333333,0.22083333333333335,0.7,0.09833333333333333
13,0.475,0.525,0.525,0.22833333333333336
14,0.5250000000000001,0.825,0.6000000000000001,0.16583333333333333
15,0.475,0.5,1.0,0.16916666666666672
16,0.7,0.6916666666666667,0.3416666666666666,0.15464285714285714
17,0.3416666666666666,0.3416666666666666,0.2958333333333333,0.19357142857142853
18,0.85,0.5,0.5,0.22833333333333333
19,0.7499999999999998,0.783333333333333,0.6624999999999999,0.3666666666666668
20,0.45,0.5,0.45,0.5
21,0.575,0.3416666666666666,0.35,0.19000000000000006
22,0.15,0.1,0.1,0.16
23,0.85,0.825,0.175,0.20999999999999996
24,0.39166666666666666,0.425,0.425,0.09166666666666666
25,0.20833333333333334,0.5166666666666667,0.4583333333333333,0.18666666666666668
26,0.2625,0.3583333333333332,0.2708333333333333,0.18000000000000005
27,0.85,0.85,0.85,0.2541666666666667
28,0.24500000000000002,0.33916666666666667,0.4083333333333333,0.1933333333333334
29,0.75,0.75,0.7,0.2000000000000001
30,0.36416666666666675,0.35166666666666674,0.2951190476190476,0.31714285714285717
31,0.5125,0.29583333333333334,0.2125,0.28761904761904755
32,0.3933333333333334,0.5399999999999999,0.32583333333333336,0.3480952380952381
33,0.45,0.3833333333333334,0.29999999999999993,0.11833333333333332
34,0.2625,0.45,0.35,0.07666666666666667
35,0.6416666666666665,0.6416666666666665,0.4791666666666667,0.2202380952380953
36,0.8333333333333333,0.875,0.6833333333333333,0.255
37,0.725,0.8,0.8,0.12
38,0.3041666666666666,0.36666666666666664,0.26249999999999996,0.20714285714285716
39,0.31166666666666665,0.3166666666666666,0.85,0.03666666666666667
40,0.4708333333333332,0.45833333333333337,0.45,0.24
41,0.30750000000000005,0.265,0.15,0.2221428571428572
42,0.2333333333333333,0.5583333333333333,0.6,0.13
43,0.3416666666666667,0.3591666666666667,0.375,0.16976190476190473
44,0.85,0.85,0.9,0.28666666666666674
45,0.3341666666666666,0.255,0.3516666666666667,0.21666666666666673
46,0.6000000000000001,0.5666666666666668,0.6,0.3466666666666668
47,0.3958333333333333,0.4666666666666666,0.55,0.25
48,0.475,0.475,0.75,0.13
49,0.5083333333333334,0.725,0.375,0.19166666666666668
50,0.4,0.35,0.4,0.45
51,NaN,0.5166666666666666,0.7416666666666665,0.31261904761904763
52,NaN,0.45833333333333337,0.2041666666666667,0.18547619047619043
