video,sim_online,sim_retrospective,sim_lesioned,sim_NN_input
1,0.4541666666666666,0.2958333333333334,0.27083333333333337,0.16166666666666668
2,0.43749999999999983,0.3416666666666666,0.5333333333333332,0.2471428571428572
3,0.525,0.5,0.41666666666666663,0.17500000000000002
4,0.4083333333333332,0.3916666666666666,0.31666666666666665,0.23000000000000007
5,0.6666666666666667,0.6916666666666667,0.875,0.4499999999999999
6,0.4583333333333333,0.525,0.3291666666666666,0.19000000000000006
7,0.28250000000000003,0.2875,0.24166666666666664,0.17666666666666664
8,0.3333333333333333,0.275,1.0,0.10416666666666666
9,0.3458333333333332,0.3166666666666666,0.275,0.20666666666666664
10,0.2833333333333333,0.11749999999999998,0.31249999999999994,0.07011904761904761
11,0.5416666666666666,0.5416666666666666,0.275,0.15250000000000002
12,0.2783333333333333,0.25083333333333335,0.7,0.09833333333333333
13,0.3416666666666667,0.5666666666666667,0.575,0.22833333333333336
14,0.5916666666666667,0.825,0.85,0.16583333333333333
15,0.525,1.0,1.0,0.16916666666666672
16,0.725,0.725,0.3416666666666666,0.15464285714285714
17,0.2708333333333333,0.3416666666666666,0.2708333333333333,0.19357142857142853
18,0.775,0.32499999999999996,0.5,0.22833333333333333
19,0.6666666666666665,0.783333333333333,0.6416666666666665,0.3666666666666668
20,0.45,0.45,0.35,0.5
21,0.39999999999999997,0.55,0.30416666666666664,0.19000000000000006
22,0.1,0.15,0.15,0.16
23,0.825,0.15833333333333335,0.175,0.20999999999999996
24,0.2833333333333333,0.425,0.35,0.09166666666666666
25,0.4916666666666666,0.39416666666666667,0.5416666666666666,0.18666666666666668
26,0.3333333333333332,0.27499999999999997,0.2625,0.18000000000000005
27,0.9,0.85,0.85,0.2541666666666667
28,0.4600000000000001,0.45,0.4033333333333333,0.1933333333333334
29,0.75,0.7,0.75,0.2000000000000001
30,0.34916666666666674,0.35166666666666674,0.30500000000000005,0.31714285714285717
31,0.4841666666666667,0.4083333333333334,0.3458333333333333,0.28761904761904755
32,0.7041666666666666,0.2975,0.38916666666666677,0.3480952380952381
33,0.45,0.45,0.45,0.11833333333333332
34,0.325,0.4,0.325,0.07666666666666667
35,0.4791666666666667,0.6416666666666665,0.4875,0.2202380952380953
36,0.6666666666666666,0.7333333333333332,0.425,0.255
37,0.575,0.85,0.8,0.12
38,0.2875,0.4416666666666666,0.41666666666666663,0.20714285714285716
39,0.3075,0.135,0.85,0.03666666666666667
40,0.4458333333333333,0.2583333333333333,0.5166666666666666,0.24
41,0.37083333333333335,0.3433333333333334,0.15,0.2221428571428572
42,0.13333333333333333,0.2416666666666667,0.85,0.13
43,0.3458333333333333,0.26333333333333336,0.26,0.16976190476190473
44,0.55,0.85,0.85,0.28666666666666674
45,0.38666666666666666,0.4166666666666667,0.2791666666666667,0.21666666666666673
46,0.7583333333333332,0.7416666666666665,0.6000000000000001,0.3466666666666668
47,0.4291666666666667,0.45,0.95,0.25
48,0.5,0.5,0.75,0.13
49,0.3999999999999999,0.4583333333333333,0.26249999999999996,0.19166666666666668
50,0.3,0.4,0.4,0.45
51,NaN,0.5916666666666666,0.5041666666666667,0.31261904761904763
52,NaN,0.4041666666666666,0.09583333333333333,0.18547619047619043
53,NaN,0.4666666666666666,0.5458333333333332,0.17261904761904762
54,NaN,0.75,0.75,0.1366666666666667
55,NaN,0.14166666666666666,0.375,0.16000000000000003
56,NaN,0.3083333333333333,0.55,0.33
57,NaN,0.7916666666666667,0.1916666666666667,0.09833333333333334
58,NaN,0.0,0.0,0.06333333333333332
