video,Jacc_sim_online,avg_dist_online,Jacc_sim_retrospective,avg_dist_retro,Jacc_sim_lesioned,avg_dist_lesioned
1,0.25,0.14947208626971267,0.16666666666666666,0.1474013207871001,0.16666666666666666,0.06562969747237347
2,0.75,0.8075084458981229,0.5,0.21203799743735063,0.25,0.14863504901023208
3,0.5,0.24261589505838602,0.5,0.23257727554519944,0.3333333333333333,0.23671179684396113
4,0.25,0.14972523073202273,0.25,0.2708677301777771,0.3333333333333333,0.21513298065262176
5,0.3333333333333333,0.658755456992689,0.3333333333333333,0.7935779484058456,0.5,0.25376595202935537
6,0.3333333333333333,0.1545173917031223,0.3333333333333333,0.08122610663255475,0.25,0.05610827193930231
7,0.25,0.11766133974520575,0.2,0.08612203791878897,0.2,0.10443506768837367
8,0.3333333333333333,0.21746726359566093,0.25,0.27667763592453537,1.0,0.16800074085191358
9,0.25,0.3354822477155008,0.6666666666666666,1.773132922323826,0.5,0.5094812428102382
10,0.6666666666666666,1.5232370021791666,0.4,1.221685766643357,0.6666666666666666,1.460338667673084
11,1.0,0.4450664504664153,1.0,0.2032950621280788,0.5,0.14115350418061695
12,0.5,0.44147146879827615,0.5,0.7440293000659042,0.5,0.15083260707453475
13,0.3333333333333333,0.11479858943317564,0.3333333333333333,0.18851820669642325,0.5,0.22598047292142748
14,1.0,0.18594179061768928,1.0,0.2790653173797737,1.0,0.3384261695128903
15,0.5,0.05473131453477529,1.0,0.07864371162639887,1.0,0.04430837136348273
16,0.5,3.3818526262026456,0.5,0.6794982842270147,0.3333333333333333,0.21028369650506085
17,0.25,0.11047358962741934,0.25,0.09355836273421832,0.25,0.15593654937529214
18,1.0,0.44411379622414027,1.0,0.1910775160711056,0.5,0.20204731297211215
19,0.25,0.5030059690199686,0.25,0.2935905411710838,0.25,0.21695486474088563
20,0.0,NaN,0.0,NaN,0.0,NaN
21,0.25,0.14906579189680663,0.3333333333333333,0.13218479156772625,0.25,0.037940151961400784
22,0.0,NaN,0.0,NaN,0.0,NaN
23,1.0,0.335768934774059,1.0,0.09285824981632321,0.5,0.26791692487467
24,0.25,0.25853672056207666,0.25,0.19894274820797983,0.3333333333333333,0.2725235131455569
25,0.6666666666666666,0.18521916720959825,0.5,0.20760672602444868,0.6666666666666666,0.2916199161137749
26,0.25,0.20097405468459223,0.25,0.3278242452910845,0.25,0.21818967993942856
27,1.0,0.14711426694131297,1.0,0.06246637221579529,1.0,0.14382784607534
28,0.2,0.4244283505991589,0.25,0.40958478999858977,0.14285714285714285,0.49274918932807354
29,1.0,0.5600747674236444,0.5,0.40932646975316583,1.0,0.5851524837484233
30,0.16666666666666666,0.5649380006059768,0.16666666666666666,0.7346186380818672,0.16666666666666666,0.21716029900644132
31,0.4,0.4771992043830953,0.5,0.6174322799327424,0.25,0.09724801001460433
