video,Jacc_sim_online,avg_dist_online,Jacc_sim_retrospective,avg_dist_retro,Jacc_sim_lesioned,avg_dist_lesioned
1,0.6666666666666666,0.5023355186861561,0.6666666666666666,0.3217921415759156,0.3333333333333333,0.1656425435453148
2,0.0,NaN,0.0,NaN,0.0,NaN
3,1.0,0.8170808715815631,1.0,0.7693806900474498,1.0,0.309164056454417
4,1.0,0.8561123566971826,1.0,0.6650311491891069,0.3333333333333333,0.1743334866786403
5,1.0,0.4873504378976978,1.0,0.29466407927136196,0.5,0.18980769966469527
6,1.0,0.19882919217099412,1.0,0.06898787552293144,1.0,0.09944878325813698
7,0.5,0.09130751104026144,1.0,0.2432231812943052,0.5,0.1490584692659559
8,1.0,0.17755897093500325,1.0,0.2592746835069857,0.5,0.05528838407311415
9,0.5,0.16178146686238315,0.5,0.20697172786469795,0.5,0.16227373661053793
10,0.3333333333333333,0.21094364228070167,0.3333333333333333,0.12841871310195005,0.3333333333333333,0.18892853637946538
11,0.5,0.5466783106071528,0.5,0.37993465157473716,0.3333333333333333,0.1435781806577229
12,0.6666666666666666,0.22378266030437344,0.3333333333333333,0.2768842978269224,0.3333333333333333,0.2693920926701075
13,0.5,0.23753522297748375,0.5,1.547025207265726,0.5,0.17184187914431062
14,0.5,0.6508168523518234,0.5,0.6117604771419846,0.3333333333333333,0.595500659072871
15,1.0,0.31429828244832314,1.0,0.2736178056225181,1.0,0.12132856222874866
16,0.5,1.2389326302774872,0.5,0.7869615729417793,0.3333333333333333,0.3162501327331599
17,1.0,0.2787081381544834,1.0,0.18525382109635968,0.5,0.0687346688511473
18,0.6666666666666666,0.3663199663495258,0.6666666666666666,0.3229037592170803,0.3333333333333333,0.13822684339645422
19,1.0,0.2805289456169887,1.0,0.2472739800933713,1.0,0.3031864511325072
20,1.0,0.7666933276701118,1.0,0.2637310053445822,1.0,0.48416919291270255
21,1.0,0.29297002889141377,1.0,0.4059527381475279,0.5,0.42091743510394575
22,0.0,NaN,0.0,NaN,0.0,NaN
23,1.0,0.8444146256159498,1.0,0.6702839300074445,1.0,0.558013816786949
24,0.5,0.19178168719982436,1.0,0.25595503207588566,0.5,0.30195546585488897
25,1.0,0.12536246634980938,1.0,0.06772074836446339,1.0,0.20199703750865686
26,1.0,0.43075008716483554,1.0,0.6166677156151222,1.0,0.286914149533864
27,1.0,0.40500962642430016,1.0,0.46745173014421926,1.0,0.42100780621523654
28,1.0,0.5903053422029102,1.0,0.33442064462149945,0.3333333333333333,0.256094570316355
29,0.25,0.6794282337684222,0.25,1.097941161248455,0.3333333333333333,0.6622189046648311
30,1.0,0.12487991280465256,1.0,0.1740631062408053,1.0,0.17695392880936825
31,1.0,0.17996911512939717,1.0,0.15091177482285564,1.0,0.14815251014270853
32,0.6666666666666666,1.251172383372613,1.0,0.6299773290158718,0.3333333333333333,0.333459483411446
33,0.3333333333333333,0.6669734319266658,0.3333333333333333,0.8651633968228916,0.5,0.33712959817901206
34,1.0,0.6521173217031089,1.0,0.49940199917580186,1.0,1.3278351444645413
35,0.0,NaN,0.0,NaN,0.0,NaN
36,0.5,0.11142702805846896,0.5,0.1870998728131983,0.5,0.10244178287530734
37,1.0,0.16773941963943267,1.0,0.1545761065609904,0.5,0.13479833608276193
