order_run,MSE,upper,lower
1,0.10067426518657693,0.09256646925760359,0.11079431480230259
2,0.049319608240347215,0.04534908110714284,0.05468034279996678
3,0.030941994814823744,0.027734793619451456,0.035320418620973446
4,0.03166399947116604,0.02893277755949589,0.035332610737363476
5,0.016569137685272173,0.014573274932430316,0.019438778455410147
6,0.019369808533015172,0.017019437339887263,0.022494515478531547
7,0.01796297988482684,0.016180059131654597,0.020404197027846054
8,0.01345620746253463,0.011879144172414476,0.01573326064893567
9,0.01450783899668379,0.012645426091618816,0.017090567779133967
10,0.010796744616302176,0.0091637760604428,0.013245884413140119
11,0.008514339990225167,0.006796687925420597,0.010887446493179314
12,0.00820206103564505,0.006898891420316464,0.010107097952672475
13,0.008115619581839631,0.006703564704176764,0.010251698388748577
14,0.009094771272600992,0.007878354320721837,0.010864875684424256
15,0.006654298106491639,0.005546909127715474,0.008205491973757528
16,0.010198093876807885,0.009201435945823382,0.011519438817802262
17,0.009756439922226969,0.00887853739777203,0.010995949580715552
18,0.008228401537037012,0.007187916204420473,0.00963351354341042
19,0.008687278113185412,0.00783011904769971,0.009760765477468207
20,0.006027663065043262,0.005472215679354074,0.006736505904948751
21,0.005813991096417509,0.00537772323583385,0.006378343529750199
22,0.005126633294434098,0.004715065957569032,0.005609632354560215
23,0.004093523990177485,0.00385253334720599,0.0043697646048068035
24,0.0038006172437442323,0.0035965712319976106,0.004046653424078393
25,0.003922285397924521,0.0036896081785273392,0.004179625012074303
26,0.003696704063292246,0.003481453521699417,0.003937358186324899
27,0.0032721759531668007,0.0030561385239779065,0.0035265434824065813
28,0.003162393400485977,0.0029730316031367286,0.003389626690750167
29,0.0035995775465236003,0.003401750672774472,0.0038115173151678063
30,0.0027528405354558336,0.002585559318949052,0.002958143833525834
31,0.003098043916528431,0.0029088708445126708,0.0033114111367083528
32,0.002962519621933464,0.0027926907655331946,0.003159743322127339
33,0.0034800573527777423,0.0032895075248235523,0.0036968132969212543
34,0.00268632795780246,0.0025130289602289177,0.002872663409040327
35,0.002948464402033067,0.002773277789581592,0.003146987296438052
36,0.002504738247586623,0.0023288407892320877,0.002705228326186914
37,0.0026809756858066826,0.0025098505713783276,0.002877838143972151
38,0.0027227224591066168,0.0025277059059491615,0.0029350533254041754
39,0.0027898188750534415,0.00260307779237675,0.003004910894006743
40,0.0028547660311347535,0.002673282266714064,0.003053669743159792
41,0.0028893455622187713,0.0027048494493782946,0.003101609591208822
42,0.0027454822753476705,0.0025741898011613458,0.002936327849958053
43,0.0027849168896119238,0.002615683079067836,0.002976610805300179
44,0.0026533348597294806,0.0024751291394418153,0.002849809211905157
45,0.002583992915626517,0.002404108802202434,0.002791505511734626
46,0.0024521101124983236,0.0022793253199440374,0.0026460218014261253
47,0.0024449870904464524,0.0023037776267974936,0.0026038174477883607
48,0.0023475641581018405,0.0022014582746887248,0.0025035072235008622
49,0.002401520924453406,0.002246915269690841,0.0025683647118171365
50,0.002417261866988591,0.002254306831600816,0.0025947166593064206
