model,mean,group
online,0.7213958333333333,A
retro,0.7205416666666666,A
lesion,0.6391666666666667,A
input,0.5608214285714286,A
online,NA,B
retro,0.7260458333333333,B
lesion,0.5638124999999999,B
input,0.5353023809523809,B
