model,lower,upper,mean,group
RetroInput,0.11339839412105067,0.2068822452494774,0.15972023809523808,A
RetroLesion,0.024275939031272925,0.1412619783159595,0.08137499999999999,A
RetroInput,0.14297927100347477,0.23841819899156128,0.1907434523809524,B
RetroLesion,0.1033177100347477,0.2214618739791514,0.16223333333333334,B
